No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
5,4,1,18.14472222,20.86666667,4581,-116.952499,32.498719,-116.985559,32.50774,-11.8666667,DM,3,,,
5,4,1,19.36166667,17.8,5500,-116.988381,32.519867,-116.965875,32.498849,0.2,INCREMENTO,1,,,
3,4,1,20.84027778,3,658,-116.886756,32.496736,-116.882381,32.492105,-2,DP,2,,,
6,4,1,22.18666667,2.583333333,722,-116.96421,32.509792,-116.969773,32.508347,0.4166667,INCREMENTO,1,,,
5,5,1,1.924166667,8.816666667,1756,-116.964985,32.504717,-116.976096,32.506746,-4.8166667,DP,2,,,
5,5,1,10.82194444,7.4,2286,-116.956651,32.493133,-116.964001,32.506825,-1.7166667,INCREMENTO,1,,,
5,5,1,13.12027778,3.1,1967,-116.978254,32.515081,-116.964042,32.506757,-0.1,INCREMENTO,1,,,
5,5,1,14.68833333,14.03333333,6061,-116.912094,32.545862,-116.961796,32.525307,2.9666667,INCREMENTO,1,,,
6,5,1,14.77694444,19.06666667,10055,-116.964008,32.507142,-116.982092,32.44852,1.95,INCREMENTO,1,,,
6,5,1,15.74777778,1.516666667,254,-116.940785,32.48451,-116.943358,32.485235,0.4833333,INCREMENTO,1,,,
1,5,1,17.09861111,4.166666667,1312,-116.872807,32.479294,-116.868749,32.487688,-0.6666667,INCREMENTO,1,,,
2,5,1,18.21916667,5.766666667,3986,-116.917025,32.468055,-116.885142,32.448112,1.5166667,INCREMENTO,1,,,
1,5,1,18.59361111,19.86666667,5289,-116.873923,32.529035,-116.868564,32.494301,12.9,INCREMENTO,1,,,
5,5,1,20.81388889,7.466666667,1397,-116.95146,32.49514,-116.94336,32.486272,-4.5333333,DP,2,,,
1,5,1,21.71222222,4.983333333,1412,-116.960709,32.509454,-116.969768,32.508274,-2.1833333,DP,2,,,
3,5,1,22.435,1.716666667,325,-116.883164,32.489051,-116.881615,32.487003,-0.7166667,INCREMENTO,1,,,
4,6,1,8.815555556,11.88333333,13823,-116.902688,32.454063,-117.010043,32.525565,-0.5833333,INCREMENTO,1,,,
5,6,1,9.151666667,4.65,2150,-116.962124,32.508326,-116.961299,32.515616,-0.65,INCREMENTO,1,,,
5,6,1,9.368333333,10.48333333,4322,-116.961045,32.515326,-116.985553,32.507859,-2.4833333,DP,2,,,
2,6,1,9.686666667,2.983333333,1442,-116.870538,32.451942,-116.884692,32.448667,-0.9833333,INCREMENTO,1,,,
4,6,1,10.2975,4.85,1233,-116.860612,32.493378,-116.868797,32.494255,0.5333333,INCREMENTO,1,,,
1,6,1,10.41361111,2.45,2186,-116.901994,32.454064,-116.885261,32.44822,0.55,INCREMENTO,1,,,
1,6,1,12.39055556,3.183333333,671,-116.877049,32.456382,-116.877095,32.456262,-2.95,DP,2,,,
6,6,1,12.72888889,7.966666667,4974,-116.980648,32.489448,-116.963948,32.50688,-0.3,INCREMENTO,1,,,
5,6,1,16.11222222,15.26666667,2877,-116.948756,32.503192,-116.963962,32.50695,-9.2666667,DM,3,,,
6,6,1,20.00111111,1.6,264,-116.962575,32.50862,-116.96413,32.506782,1.1833333,INCREMENTO,1,,,
6,6,1,21.47333333,22.18333333,12089,-116.942865,32.472197,-117.010018,32.525443,-6.5666667,DP,2,,,
3,7,1,0.943611111,73.6,25637,-116.924377,32.468495,-116.87427,32.35676,-52.6666667,DM,3,,,
7,7,1,6.608611111,7.35,2658,-116.872608,32.434039,-116.884728,32.448698,-0.35,INCREMENTO,1,,,
1,7,1,7.060555556,17.55,16855,-117.009994,32.526666,-116.885197,32.448186,-5.6833333,DP,2,,,
6,7,1,7.785,1.933333333,719,-116.948797,32.521778,-116.944803,32.5245,0.5833333,INCREMENTO,1,,,
2,7,1,8.231666667,6.85,2036,-116.963917,32.507027,-116.979062,32.503582,-1.35,INCREMENTO,1,,,
5,7,1,8.877777778,0.766666667,377,-116.966877,32.515634,-116.96929,32.516839,-0.0166667,INCREMENTO,1,,,
5,7,1,10.44,17.93333333,11621,-116.968775,32.470524,-117.009997,32.525465,-2.9333333,DP,2,,,
4,7,1,11.07805556,3.5,1788,-116.869027,32.443773,-116.88515,32.448083,1.0666667,INCREMENTO,1,,,
2,7,1,11.50833333,17.15,9952,-116.856227,32.462175,-116.926417,32.476325,-3.4166667,DP,2,,,
5,7,1,12.16472222,8.8,6813,-116.925943,32.475249,-116.963991,32.506859,-0.9833333,INCREMENTO,1,,,
6,7,1,12.34972222,1.716666667,832,-116.967045,32.511908,-116.964087,32.506775,0.35,INCREMENTO,1,,,
5,7,1,14.24888889,4.6,1294,-116.978663,32.452606,-116.979532,32.446881,1.4,INCREMENTO,1,,,
4,7,1,18.96666667,7,5543,-116.885187,32.448128,-116.919897,32.461863,-0.5833333,INCREMENTO,1,,,
6,7,1,19.02027778,12.28333333,3426,-116.94367,32.48519,-116.926377,32.476387,-7.2,DP,2,,,
2,7,1,19.38472222,4.55,3804,-116.917592,32.461253,-116.885112,32.448768,-0.1,INCREMENTO,1,,,
7,7,1,19.81805556,9.6,4592,-116.918899,32.473193,-116.885211,32.44812,-3.5,DP,2,,,
4,7,1,21.345,11.15,7917,-116.904618,32.454427,-116.957922,32.506897,-4.65,DP,2,,,
7,7,1,21.98638889,12.81666667,10579,-116.961358,32.505185,-116.885164,32.448099,-4.25,DP,2,,,
5,7,1,22.2425,25.45,11806,-116.892823,32.548957,-116.96297,32.516561,-11.45,DM,3,,,
4,7,1,22.73972222,3.25,1136,-116.678767,32.453173,-116.68255,32.45499,-0.2666667,INCREMENTO,1,,,
7,7,1,23.02416667,15.56666667,8726,-116.882313,32.446194,-116.842245,32.472064,-6.6333333,DP,2,,,
7,7,1,23.04083333,12.25,7685,-116.871605,32.444889,-116.842245,32.472064,-4.3166667,DP,2,,,
1,7,1,23.10027778,38.83333333,23733,-116.840666,32.487951,-116.965472,32.505491,-7.15,DP,2,,,
6,7,1,23.11972222,9.8,2140,-116.94854,32.532295,-116.934042,32.52561,-5.8333333,DP,2,,,
4,7,1,23.455,23.95,9474,-116.798987,32.46999,-116.884697,32.448722,-11.2333333,DM,3,,,
1,1,1,2.770555556,13.06666667,3634,-116.897657,32.501793,-116.934375,32.49265,-8.0666667,DM,3,,,
6,1,1,2.898055556,8.583333333,8439,-116.934508,32.492618,-117.010385,32.525525,0.0666667,INCREMENTO,1,,,
5,1,1,9.553055556,3.316666667,1815,-116.962617,32.508508,-116.956319,32.508061,3.6166667,INCREMENTO,1,,,
7,1,1,12.27111111,16.21666667,8806,-116.844321,32.504168,-116.908061,32.499744,1.7833333,INCREMENTO,1,,,
3,1,1,14.26333333,16.55,7832,-116.977389,32.516431,-117.031659,32.522503,-3.55,DP,2,,,
5,1,1,15.00527778,3.183333333,1388,-116.962523,32.508591,-116.954013,32.505769,2.8333333,INCREMENTO,1,,,
7,1,1,15.6225,1.933333333,682,-116.868064,32.499364,-116.868624,32.494262,0.5,INCREMENTO,1,,,
5,1,1,16.00222222,9.55,3527,-116.960984,32.507479,-116.944021,32.519266,-3.6166667,DP,2,,,
5,1,1,17.75138889,3.65,2577,-116.984599,32.515617,-116.964115,32.50678,0.8833333,INCREMENTO,1,,,
6,1,1,19.19055556,10.28333333,1754,-117.02295,32.52126,-117.031498,32.52249,-7.8333333,DM,3,,,
6,1,1,20.88916667,7.533333333,3111,-116.944903,32.516262,-116.965022,32.51691,-0.5666667,INCREMENTO,1,,,
6,1,1,21.91944444,19.26666667,10145,-116.961552,32.513413,-116.88304,32.540442,-3.85,DP,2,,,
7,2,1,6.3775,14.7,5913,-116.869676,32.491929,-116.884766,32.448679,-3.7666667,DP,2,,,
5,2,1,7.571111111,5.116666667,4017,-116.96077,32.505812,-116.989289,32.517441,-1.1166667,INCREMENTO,1,,,
4,2,1,8.995555556,6.7,2700,-116.868772,32.494282,-116.86263,32.507915,-1.45,INCREMENTO,1,,,
6,2,1,11.04638889,1.8,426,-116.964143,32.506663,-116.967068,32.50669,1.5333333,INCREMENTO,1,,,
6,2,1,12.05972222,9.966666667,5235,-116.959772,32.528093,-116.990432,32.525363,1.9666667,INCREMENTO,1,,,
6,2,1,12.65055556,2.983333333,1281,-116.960082,32.501303,-116.9658,32.498678,0.0333333,INCREMENTO,1,,,
6,2,1,13.06527778,13.55,7886,-116.966275,32.507142,-116.9246,32.539975,-2.3,DP,2,,,
6,2,1,15.14166667,1.2,229,-116.955098,32.498057,-116.953538,32.499685,-0.2,INCREMENTO,1,,,
6,2,1,16.35611111,18.65,9962,-116.927698,32.48529,-117.009472,32.52148,0.8666667,INCREMENTO,1,,,
6,2,1,17.11805556,8.983333333,4810,-116.964127,32.504103,-116.994223,32.477058,-0.8666667,INCREMENTO,1,,,
6,2,1,18.38472222,13,5303,-116.963967,32.506915,-116.994162,32.477163,-2.85,DP,2,,,
6,2,1,19.21,30.46666667,16399,-117.010138,32.525425,-116.894992,32.547673,-4.3166667,DP,2,,,
4,2,1,19.31166667,6.583333333,1994,-116.868795,32.494263,-116.855933,32.498988,-2.0833333,DP,2,,,
6,2,1,19.55944444,5.733333333,1395,-116.902408,32.543855,-116.894992,32.547673,-0.55,INCREMENTO,1,,,
6,2,1,22.47694444,6.55,966,-116.972695,32.492408,-116.96712,32.498932,-5.55,DP,2,,,
4,3,1,6.525555556,6.05,2398,-116.868573,32.494272,-116.873285,32.475893,-0.1333333,INCREMENTO,1,,,
7,3,1,8.644444444,13.81666667,6384,-116.857409,32.489116,-116.884568,32.448828,-2.8166667,DP,2,,,
3,3,1,10.28861111,3.45,927,-116.868894,32.495176,-116.870451,32.500649,3.4833333,INCREMENTO,1,,,
